Date,Open,High,Low,Close,Volume,Adj Close
2006-05-19,79.68,82.88,78.93,81.36,1109300,32.259
2006-05-18,81.40,82.15,79.00,79.71,1463400,31.605
2006-05-17,84.70,85.80,82.15,82.24,962900,32.608
2006-05-16,83.79,85.00,83.38,84.10,632900,33.346
2006-05-15,86.15,86.15,83.68,84.33,1044900,33.437
2006-05-12,88.75,89.39,86.89,86.89,947900,34.452
2006-05-11,87.31,90.71,87.31,89.10,1118600,35.328
2006-05-10,88.68,88.68,87.00,87.75,572300,34.793
2006-05-09,87.11,89.00,86.71,88.74,748400,35.186
2006-05-08,85.90,88.28,85.67,87.06,988700,34.52
2006-05-05,84.94,85.50,83.80,85.35,704300,33.842
2006-05-04,84.70,85.80,84.16,85.50,513100,33.901
2006-05-03,85.15,85.74,84.02,85.00,715300,33.703
2006-05-02,84.00,85.00,83.51,84.67,695500,33.572
2006-04-28,84.30,84.69,83.25,84.00,688000,33.306
2006-04-27,85.70,87.20,84.05,85.00,2718300,33.703
2006-04-26,81.50,82.98,80.96,81.90,1294200,32.474
2006-04-25,81.53,82.38,80.99,81.70,1004000,32.394
2006-04-24,78.58,81.79,78.50,81.25,1209600,32.216
2006-04-21,78.44,79.34,78.05,78.58,639200,31.157
2006-04-20,78.37,78.71,77.11,77.96,423200,30.911
2006-04-19,79.50,79.56,77.48,78.00,638400,30.927
2006-04-18,78.83,79.40,77.70,78.30,588900,31.046
2006-04-17,78.95,78.95,78.95,78.95,000,31.304
2006-04-14,78.95,78.95,78.95,78.95,000,31.304
2006-04-13,77.75,79.40,77.37,78.95,1125800,31.304
2006-04-12,78.81,79.10,77.05,77.61,632800,30.773
2006-04-11,76.42,79.40,76.42,78.81,1419800,31.248
2006-04-10,76.89,76.89,75.60,75.93,585000,30.106
2006-04-07,78.78,78.81,76.70,76.97,798100,30.519
2006-04-06,79.12,79.32,78.26,78.38,439100,31.078
2006-04-05,78.50,79.12,78.00,78.53,690400,31.137
2006-04-04,78.43,78.80,77.65,78.14,418500,30.983
2006-04-03,79.08,79.78,77.66,78.24,1125400,31.022
2006-03-31,79.50,79.60,78.15,78.43,883100,31.098
2006-03-30,79.00,80.05,78.89,79.25,795200,31.423
2006-03-29,78.70,79.65,78.20,78.70,843200,31.205
2006-03-28,79.42,80.00,78.48,78.48,852800,31.118
